start_index	Start Terminal	end_index	End Terminal	Bike id	step_id	hour	min
5	74	2	69	279	93	1	33
4	60	3	61	502	371	6	11
1	50	3	61	413	382	6	22
3	61	2	69	413	391	6	31
1	50	2	69	620	394	6	34
3	61	6	70	502	407	6	47
6	70	5	74	500	408	6	48
2	69	4	60	137	409	6	49
6	70	4	60	277	426	7	6
1	50	4	60	509	428	7	8
6	70	1	50	432	429	7	9
4	60	1	50	385	431	7	11
1	50	6	70	56	432	7	12
4	60	6	70	613	436	7	16
5	74	3	61	352	438	7	18
4	60	1	50	355	456	7	36
1	50	3	61	625	462	7	42
2	69	1	50	259	468	7	48
6	70	5	74	613	469	7	49
6	70	1	50	450	472	7	52
2	69	5	74	267	476	7	56
1	50	3	61	259	483	8	3
1	50	3	61	427	487	8	7
2	69	5	74	652	491	8	11
2	69	1	50	66	492	8	12
1	50	4	60	583	493	8	13
3	61	6	70	427	497	8	17
3	61	5	74	259	498	8	18
3	61	5	74	482	502	8	22
5	74	3	61	613	503	8	23
5	74	4	60	267	504	8	24
1	50	3	61	318	505	8	25
1	50	3	61	601	506	8	26
2	69	1	50	687	509	8	29
5	74	3	61	652	510	8	30
1	50	3	61	609	511	8	31
4	60	5	74	137	512	8	32
1	50	3	61	313	516	8	36
1	50	4	60	260	517	8	37
5	74	4	60	259	523	8	43
4	60	5	74	287	524	8	44
5	74	4	60	315	525	8	45
1	50	6	70	366	528	8	48
5	74	3	61	284	529	8	49
1	50	3	61	493	530	8	50
3	61	6	70	376	531	8	51
6	70	1	50	572	532	8	52
4	60	5	74	259	537	8	57
1	50	3	61	572	539	8	59
2	69	5	74	619	540	9	0
1	50	3	61	528	541	9	1
5	74	2	69	191	543	9	3
6	70	1	50	329	547	9	7
5	74	3	61	547	551	9	11
5	74	4	60	259	552	9	12
3	61	1	50	493	554	9	14
5	74	4	60	517	568	9	28
1	50	4	60	360	573	9	33
5	74	3	61	557	577	9	37
1	50	6	70	260	590	9	50
2	69	1	50	432	600	10	0
5	74	4	60	677	601	10	1
3	61	1	50	557	610	10	10
2	69	5	74	269	611	10	11
1	50	6	70	432	612	10	12
3	61	1	50	514	620	10	20
3	61	5	74	635	693	11	33
4	60	6	70	360	696	11	36
4	60	6	70	487	697	11	37
5	74	6	70	411	736	12	16
1	50	1	50	363	749	12	29
3	61	2	69	284	771	12	51
1	50	6	70	86	785	13	5
5	74	6	70	559	823	13	43
6	70	3	61	631	830	13	50
4	60	5	74	289	866	14	26
3	61	1	50	537	895	14	55
5	74	3	61	509	898	14	58
3	61	1	50	564	906	15	6
5	74	6	70	468	907	15	7
5	74	6	70	419	910	15	10
4	60	6	70	677	933	15	33
1	50	6	70	497	950	15	50
3	61	1	50	361	964	16	4
1	50	4	60	564	965	16	5
1	50	4	60	363	966	16	6
4	60	5	74	96	967	16	7
3	61	5	74	611	981	16	21
4	60	1	50	137	982	16	22
1	50	6	70	531	988	16	28
4	60	5	74	363	994	16	34
5	74	2	69	418	1009	16	49
5	74	6	70	573	1010	16	50
3	61	1	50	487	1011	16	51
4	60	1	50	564	1012	16	52
4	60	1	50	338	1014	16	54
5	74	6	70	363	1015	16	55
3	61	5	74	617	1016	16	56
2	69	5	74	557	1020	17	0
5	74	6	70	429	1022	17	2
5	74	6	70	611	1023	17	3
5	74	2	69	617	1024	17	4
4	60	6	70	56	1025	17	5
5	74	4	60	352	1027	17	7
5	74	2	69	709	1028	17	8
4	60	5	74	506	1034	17	14
4	60	5	74	352	1038	17	18
1	50	6	70	514	1043	17	23
5	74	6	70	352	1047	17	27
4	60	5	74	458	1048	17	28
4	60	1	50	238	1049	17	29
6	70	3	61	537	1051	17	31
1	50	6	70	137	1052	17	32
4	60	5	74	376	1053	17	33
6	70	1	50	309	1056	17	36
3	61	5	74	537	1060	17	40
1	50	3	61	549	1063	17	43
6	70	4	60	352	1064	17	44
2	69	4	60	562	1068	17	48
5	74	6	70	457	1073	17	53
5	74	6	70	289	1083	18	3
4	60	3	61	575	1084	18	4
3	61	1	50	549	1085	18	5
3	61	5	74	505	1086	18	6
3	61	1	50	600	1087	18	7
6	70	1	50	425	1088	18	8
1	50	2	69	402	1090	18	10
1	50	1	50	475	1091	18	11
5	74	4	60	458	1101	18	21
3	61	1	50	290	1105	18	25
5	74	6	70	354	1109	18	29
6	70	3	61	457	1110	18	30
2	69	1	50	441	1112	18	32
6	70	3	61	501	1118	18	38
1	50	3	61	475	1119	18	39
1	50	3	61	511	1123	18	43
6	70	5	74	137	1125	18	45
6	70	4	60	636	1146	19	6
1	50	4	60	290	1233	20	33
5	74	6	70	709	1278	21	18
5	74	3	61	376	1297	21	37
6	70	3	61	508	1319	21	59
5	74	3	61	137	1370	22	50
